UserId,FirstName,LastName,Email,Age,Type
100,First Name (100),Last Name (100),First.Last@email.100.com,53,STUDENT
101,First Name (101),Last Name (101),First.Last@email.101.com,56,STUDENT
102,First Name (102),Last Name (102),First.Last@email.102.com,65,STUDENT
103,First Name (103),Last Name (103),First.Last@email.103.com,31,STUDENT
104,First Name (104),Last Name (104),First.Last@email.104.com,22,STUDENT
105,First Name (105),Last Name (105),First.Last@email.105.com,22,STUDENT
106,First Name (106),Last Name (106),First.Last@email.106.com,52,STUDENT
107,First Name (107),Last Name (107),First.Last@email.107.com,24,STUDENT
108,First Name (108),Last Name (108),First.Last@email.108.com,46,STUDENT
109,First Name (109),Last Name (109),First.Last@email.109.com,66,STUDENT
110,First Name (110),Last Name (110),First.Last@email.110.com,37,STUDENT
111,First Name (111),Last Name (111),First.Last@email.111.com,41,STUDENT
112,First Name (112),Last Name (112),First.Last@email.112.com,35,STUDENT
113,First Name (113),Last Name (113),First.Last@email.113.com,31,STUDENT
114,First Name (114),Last Name (114),First.Last@email.114.com,30,STUDENT
115,First Name (115),Last Name (115),First.Last@email.115.com,52,STUDENT
116,First Name (116),Last Name (116),First.Last@email.116.com,60,STUDENT
117,First Name (117),Last Name (117),First.Last@email.117.com,30,STUDENT
118,First Name (118),Last Name (118),First.Last@email.118.com,64,STUDENT
119,First Name (119),Last Name (119),First.Last@email.119.com,57,STUDENT
120,First Name (120),Last Name (120),First.Last@email.120.com,44,STUDENT
121,First Name (121),Last Name (121),First.Last@email.121.com,50,STUDENT
122,First Name (122),Last Name (122),First.Last@email.122.com,28,STUDENT
123,First Name (123),Last Name (123),First.Last@email.123.com,67,STUDENT
124,First Name (124),Last Name (124),First.Last@email.124.com,42,STUDENT
125,First Name (125),Last Name (125),First.Last@email.125.com,27,STUDENT
126,First Name (126),Last Name (126),First.Last@email.126.com,66,STUDENT
127,First Name (127),Last Name (127),First.Last@email.127.com,21,STUDENT
128,First Name (128),Last Name (128),First.Last@email.128.com,55,STUDENT
129,First Name (129),Last Name (129),First.Last@email.129.com,20,STUDENT
130,First Name (130),Last Name (130),First.Last@email.130.com,23,STUDENT
